,Unnamed: 0,DATE,PERIOD,Label,A1,A2,A3,A4,A5,A6
182,182,2018-12-02T06:30:00,P1,AVG,229.08881658,230.17232034,230.98748568,229.90992432,229.35581548,227.38818538
183,183,2018-12-02T06:40:00,P1,AVG,229.07177087,230.07880992,231.00291835,229.89433644,229.37581505,227.30132081
184,184,2018-12-02T06:50:00,P1,AVG,229.06820615,230.08361311,231.00144530000003,229.86434330000003,229.34570168,227.23293278
185,185,2018-12-02T07:00:00,P1,AVG,229.12654726,230.09732277,230.9862213,229.89245154,229.28020423,227.23774631
186,186,2018-12-02T07:10:00,P1,AVG,229.05080754,230.00532725,231.03600075,229.82986736,229.26994072,227.13887032
187,187,2018-12-02T07:20:00,P1,AVG,229.03487381,230.10763301,230.93168842,229.86152095,229.16359141,227.14685666
188,188,2018-12-02T07:30:00,P1,AVG,229.15951499,230.17909696,230.97046144,229.87686147,229.21053711,227.16099941
189,189,2018-12-02T07:40:00,P1,AVG,229.2014578,230.18472898,230.98586465,229.81888654,229.1940008,227.14844548
190,190,2018-12-02T07:50:00,P1,AVG,229.22454598,230.16703425,230.9952599,229.84919135,229.17638657,227.12963426
191,191,2018-12-02T08:00:00,P1,AVG,229.24368339,230.13000084,230.95164229,229.841663,229.1722475,227.16025677
192,192,2018-12-02T08:10:00,P1,AVG,229.27552148,230.24684537,230.96675983,229.80666378,229.23873938,227.15703356
193,193,2018-12-02T08:20:00,P1,AVG,229.21996687,230.1318968,231.03221771,229.84757824,229.20922442,227.13291458
194,194,2018-12-02T08:30:00,P1,AVG,229.15708122,230.08099653,230.99298613,229.75839046,229.13303681,227.15737539
195,195,2018-12-02T08:40:00,P1,AVG,229.26060784,230.17695943,230.94259294,229.76283058,229.11403563,227.11171632
196,196,2018-12-02T08:50:00,P1,AVG,229.33365436,230.22234043,231.03619698,229.79676233,229.11553929,226.9740644
197,197,2018-12-02T09:00:00,P1,AVG,229.42001972,230.17140156,231.01902727,229.7999543,229.06862649,226.98208355
198,198,2018-12-02T09:10:00,P1,AVG,229.19948285,230.07050524,230.8739446,229.68338187,228.92008014,226.89337086
199,199,2018-12-02T09:20:00,P1,AVG,228.21737227,229.14613588,229.99339758,228.91423762,228.22167727,226.23770678
200,200,2018-12-02T09:30:00,P1,AVG,228.4124982,229.17220878,229.93496198,228.90290844,228.13679854,226.13911424
201,201,2018-12-02T09:40:00,P1,AVG,228.31319926,229.20198583,230.0465418,228.91657738,228.15967951,226.16006352
202,202,2018-12-02T09:50:00,P1,AVG,228.36311137,229.19739790000003,229.98348993,228.86948638,228.15985374,226.06677143
203,203,2018-12-02T10:00:00,P1,AVG,228.19939916,229.05036713,230.04872147,228.88682361,228.21173533,226.08791394
204,204,2018-12-02T10:10:00,P1,AVG,228.13589016,229.01800567,229.97387636,228.81841687,228.20035962,226.08436989
205,205,2018-12-02T10:20:00,P1,AVG,228.21604778,229.08559585,229.96453277,228.86382903,228.15366154,226.15109377
206,206,2018-12-02T10:30:00,P1,AVG,228.26638423,229.12958192,229.9933237,228.90043962,228.17004674,226.17906605
207,207,2018-12-02T10:40:00,P1,AVG,228.25146084,229.13022868,230.00414545,228.93901453,228.22252825,226.17674428
208,208,2018-12-02T10:50:00,P1,AVG,228.23125975,229.08390132,229.96111879,228.94975532,228.22762848,226.17971479
209,209,2018-12-02T11:00:00,P1,AVG,228.21572151,229.09707411,229.97672430000003,228.97801809,228.18556686,226.22000693
210,210,2018-12-02T11:10:00,P1,AVG,228.26745342,229.18199726,229.99735063,228.97206505,228.20938502,226.23059825
211,211,2018-12-02T11:20:00,P1,AVG,228.30734963,229.15590493,230.01269749,228.99734766,228.19692042,226.22196247
212,212,2018-12-02T11:30:00,P1,AVG,228.34293167,229.22787131,229.98544358,229.01594069,228.19275056,226.19943225
213,213,2018-12-02T11:40:00,P1,AVG,228.35152064,229.18913508,229.9903853,229.02743387,228.21112806,226.22874219
214,214,2018-12-02T11:50:00,P1,AVG,227.25176067,228.23200197,229.11540327,228.19770627,227.53713822,225.55920896
215,215,2018-12-02T12:00:00,P1,AVG,227.17897188,228.15436393,228.99235778,228.15128288,227.42648495,225.44391496
216,216,2018-12-02T12:10:00,P1,AVG,227.22142271,228.19010452,229.00510347,228.18444035,227.47262617,225.45789144
217,217,2018-12-02T12:20:00,P1,AVG,227.09331225,228.14593815,229.00672418,228.17119286,227.46808259,225.51835688
218,218,2018-12-02T12:30:00,P1,AVG,227.13211072,228.26595668,229.07704143,228.12590789,227.51040019,225.52593866
219,219,2018-12-02T12:40:00,P1,AVG,227.25515473,228.29229972,229.02861183,228.18164417,227.54262177,225.56498354
220,220,2018-12-02T12:50:00,P1,AVG,227.22938589,228.25406192,229.04967894,228.21229905,227.55825462,225.57776349
221,221,2018-12-02T13:00:00,P1,AVG,227.21681818,228.21226985,228.97519883,228.25548151,227.56022246,225.6167722
222,222,2018-12-02T13:10:00,P1,AVG,227.1252259,228.19710503,228.97970961,228.21372909,227.52795234,225.62562075
223,223,2018-12-02T13:20:00,P1,AVG,227.12711246,228.18944992,229.01607178,228.18900788,227.51469468,225.61310968
224,224,2018-12-02T13:30:00,P1,AVG,227.14595557,228.21842404,229.0039012,228.20678947,227.51283078,225.61893716
225,225,2018-12-02T13:40:00,P1,AVG,227.19330341,228.22012005,229.03285479,228.2501673,227.52626544,225.6567545
226,226,2018-12-02T13:50:00,P1,AVG,227.13085706,228.20443245,229.00324095,228.20896832,227.55128633,225.65704667
227,227,2018-12-02T14:00:00,P1,AVG,227.07676165,228.22566971,229.0120739,228.24831231,227.55640847,225.65328334
228,228,2018-12-02T14:10:00,P1,AVG,227.08535351,228.17815951,228.99781277,228.25542399,227.54493437,225.66643422
229,229,2018-12-02T14:20:00,P1,AVG,227.01692193,228.13352365,228.99094226,228.23205121,227.60568149,225.6720134
