,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7747,2019-06-01,4655897,순샘베이킹 피톤치드 1.2L 리필,8801046303191,발주가능,0,51,1103,6066607,17순샘베이킹피톤치드 1.2L리필 (친),주방세제,10,5.1,216.27450980392157
7748,2019-06-01,4655898,순샘베이킹 피톤치드 1.4L 리필,8801046903001,발주가능,0,288,2899,6066608,17순샘베이킹피톤치드 1.4L리필 (친),주방세제,9,32.0,90.59375
7749,2019-06-01,5367742,스파크 산소표백제 2kg_리필,8801046280522,발주가능,36,46,82,6068303,18스파크 산소표백2kg리필(주,세탁세제,6,7.666666666666667,10.695652173913043
7750,2019-06-01,5367744,크리스탈워터 리치애플 400ml,8801046291511,발주가능,0,12,220,5008423,17크리스탈워터 리치애플 400ml,ST,10,1.2,183.33333333333334
7751,2019-06-01,5367746,크리스탈워터 시트러스오렌지 400ml,8801046291542,발주가능,210,1,209,5008426,17크리스탈워터 시트러스오렌지 400ml,세탁세제,10,0.1,2090.0
7752,2019-06-01,5367747,크리스탈워터 허브테라피 400ml,8801046291566,발주가능,0,12,317,5008428,17크리스탈워터 허브테라피 400ml,ST,10,1.2,264.1666666666667
7753,2019-06-01,5367748,크리스탈워터 프렌치부케 400ml,8801046291573,발주가능,0,24,461,5008429,17크리스탈워터 프렌치부케 400ml,ST,10,2.4,192.08333333333334
7754,2019-06-01,5367750,젤로포트미니 써니오렌지,8801046303498,발주가능,0,3,192,5008762,17젤로포트미니 오렌지 150g,ST,12,0.25,768.0
7755,2019-06-01,5367751,젤로포트미니 조이풀피치,8801046303504,발주가능,0,27,386,5008763,17젤로포트미니 피치 150g,ST,12,2.25,171.55555555555554
7756,2019-06-01,5367753,엄마의선택 100% 구연산 1kg,8801046287248,발주가능,0,37,196,6075858,19엄마의선택구연산 1.0Kg지퍼백,세탁세제,8,4.625,42.37837837837838
7757,2019-06-01,5367754,엄마의선택 100% 베이킹소다 1kg,8801046286234,발주가능,0,38,317,6075859,19엄마의선택베이킹소 1.0Kg지퍼백,세탁세제,8,4.75,66.73684210526316
7758,2019-06-01,5520867,엄마의선택 과탄산소다 1kg,8801046283288,발주가능,0,140,3810,6075856,19엄마의선택과탄산소 1.0Kg지퍼백,세탁세제,8,17.5,217.71428571428572
7759,2019-06-01,5759183,홈즈 에어후레쉬 옷장용 남자냄새 32g,8801046247808,발주가능,0,5,448,5009017,18에어후레쉬옷장용남자냄새용32g,ST,7,0.7142857142857143,627.1999999999999
7760,2019-06-01,5875440,애경 휘슬 리얼블랙샌드 고양이모래 리필(7kg),8801046304495,발주가능,0,11,176,5008790,"17휘슬리얼블랙샌드(벤토나이트,리필) 7kg",기타,2,5.5,32.0
7761,2019-06-01,7427802,Box_[애경] 휘슬 애견 리얼블랙 샌드(용기) 19.5kg(6.5kg x 3),18801046300166,발주가능,32,1,31,5008761,17휘슬리얼블랙샌드(벤토나이트) 6.5kg,세탁세제,3,0.3333333333333333,93.0
7762,2019-06-01,7427803,Box_[애경] 휘슬 애견 리얼블랙 샌드(파우치) 14kg(7kg x 2),18801046304492,발주가능,14,0,14,5008790,"17휘슬리얼블랙샌드(벤토나이트,리필) 7kg",세탁세제,2,0.0,0.0
7763,2019-06-01,7569813,2080 6-LINE 칫솔 미세모 4입,8801046301159,발주가능,0,52,588,5009177,182080 식스라인4입 미세모,덴탈케어,8,6.5,90.46153846153847
7764,2019-06-01,7569814,2080 6-LINE 칫솔 이중 미세모 4입,8801046301166,발주가능,0,208,2206,5009180,182080식스라인 4입_이중미세모,덴탈케어,8,26.0,84.84615384615384
7765,2019-06-01,7657202,울샴푸 손빨래세제 용기 380mL,8801046309049,발주가능,0,39,915,6068405,18울샴푸 손빨래세제380mL(주),세탁세제,12,3.25,281.53846153846155
