,카테고리명,자재그룹명,제품명,안전재고,분류,variable,value
195,CHB,E2,Z2,0.0,K,2019-12-05 00:00:00,9670.2
196,CHB,E2,Z3,0.0,K,2019-12-05 00:00:00,8037.4
197,CHB,E2,KC,0.0,E,2019-12-05 00:00:00,0.0
198,CHB,E2,KC2,0.0,L,2019-12-05 00:00:00,0.0
199,CHB,E2,KC3,0.0,F,2019-12-05 00:00:00,0.0
200,CHB,E1,A,0.0,E,2019-12-06 00:00:00,0.0
201,CHB,E1,B,0.0,E,2019-12-06 00:00:00,0.0
202,CHB,E1,C,0.0,A,2019-12-06 00:00:00,9741.7
203,CHB,E1,D,0.0,A,2019-12-06 00:00:00,6127.3
204,CHB,E1,E,39593.3,A,2019-12-06 00:00:00,78268.0
205,CHB,E1,F,0.0,A,2019-12-06 00:00:00,7680.0
206,CHB,E1,G,0.0,M,2019-12-06 00:00:00,19767.5
207,CHB,E1,H,46893.9,A,2019-12-06 00:00:00,35423.7
208,CHB,E1,I,0.0,K,2019-12-06 00:00:00,4279.6
209,CHB,E1,J,0.0,A,2019-12-06 00:00:00,32917.1
210,CHB,E1,K,0.0,A,2019-12-06 00:00:00,34120.6
211,CHB,E1,L,0.0,A,2019-12-06 00:00:00,17823.0
212,CHB,E1,M,0.0,A,2019-12-06 00:00:00,287.3
213,CHB,E1,N,0.0,E,2019-12-06 00:00:00,0.0
214,CHB,E1,O,0.0,E,2019-12-06 00:00:00,0.0
215,CHB,E1,P,0.0,E,2019-12-06 00:00:00,0.0
216,CHB,E1,Q,0.0,E,2019-12-06 00:00:00,0.0
217,CHB,E1,R,0.0,A,2019-12-06 00:00:00,0.0
218,CHB,E1,S,0.0,E,2019-12-06 00:00:00,0.0
219,CHB,E1,T,0.0,E,2019-12-06 00:00:00,0.0
220,CHB,E2,U,0.0,E,2019-12-06 00:00:00,0.0
221,CHB,E2,V,0.0,E,2019-12-06 00:00:00,0.0
222,CHB,E2,W,0.0,E,2019-12-06 00:00:00,0.0
223,CHB,E2,X,0.0,E,2019-12-06 00:00:00,0.0
224,CHB,E2,Y,0.0,E,2019-12-06 00:00:00,0.0
225,CHB,E2,Z,0.0,E,2019-12-06 00:00:00,0.0
226,CHB,E2,A1,0.0,E,2019-12-06 00:00:00,0.0
227,CHB,E2,A2,0.0,A,2019-12-06 00:00:00,38921.6
228,CHB,E2,A3,0.0,B,2019-12-06 00:00:00,20.0
229,CHB,E2,B2,0.0,G,2019-12-06 00:00:00,1178.4
230,CHB,E2,B3,0.0,F,2019-12-06 00:00:00,12012.8
231,CHB,E2,FF1,0.0,E,2019-12-06 00:00:00,12173.8
232,CHB,E2,FF2,0.0,F,2019-12-06 00:00:00,44.7
233,CHB,E2,FF3,0.0,M,2019-12-06 00:00:00,43437.0
